S D R TP
1 0 2 1 1 
0 0 2 1 1 
0 0 2 1 1 
0 1 2 0 1 
0 1 2 0 1 
0 0 3 0 1 
0 0 3 0 1 
1 0 2 0 1 
0 1 2 0 1 
0 1 2 0 1 
0 1 2 0 1 
1 0 2 0 1 
0 0 2 1 1 
0 0 2 1 1 
0 0 2 1 1 
0 0 2 0 1 
0 0 2 1 1 
0 0 2 0 0 
0 0 3 0 1 
0 0 2 1 1 
0 0 2 0 1 
0 0 2 0 1 
0 0 2 0 0 
1 0 2 0 1 
1 0 2 0 1 
0 1 2 0 1 
0 0 2 0 1 
0 0 2 0 1 
0 1 2 0 1 
0 1 2 0 1 
1 0 2 0 1 
1 0 2 0 1 
1 0 2 0 1 
1 0 2 0 1 
1 0 2 0 0 
1 0 2 1 1 
0 1 2 0 1 
1 0 2 0 1 
0 0 2 1 1 
1 0 2 1 1 
1 0 2 1 1 
1 0 3 0 1 
1 0 2 1 1 
1 0 3 0 2 
1 0 2 1 1 
1 0 3 0 1 
1 0 2 1 2 
1 0 3 0 2 
1 0 2 1 2 
1 1 2 1 2 
1 0 3 0 1 
1 0 3 1 2 
1 1 2 1 1 
1 1 2 1 2 
1 0 3 0 3 
1 0 3 0 2 
2 0 3 1 1 
1 0 3 0 1 
2 0 3 1 2 
1 0 3 0 2 
1 0 3 0 1 
1 0 3 0 1 
1 0 3 1 2 
1 1 3 0 2 
4 1 2 1 1 
2 0 3 1 2 
2 0 3 1 2 
2 0 3 1 3 
1 1 3 0 1 
1 0 4 0 3 
1 1 3 0 2 
0 1 3 1 4 
1 0 3 1 2 
1 1 3 0 2 
2 0 3 1 3 
1 0 3 1 4 
1 0 4 0 1 
1 1 3 1 2 
0 1 3 1 2 
1 0 4 0 3 
0 0 4 1 1 
1 0 4 0 2 
0 0 4 0 2 
1 0 3 1 2 
1 1 3 1 1 
1 0 3 1 2 
1 0 4 0 2 
1 0 3 1 2 
0 0 3 1 1 
1 0 4 1 1 
1 0 4 0 2 
0 1 3 1 3 
0 1 3 1 2 
1 0 4 0 2 
0 0 4 1 2 
1 0 4 0 2 
1 0 4 0 1 
1 0 4 0 1 
0 0 4 0 2 
0 1 3 1 3 
0 0 4 1 1 
1 0 4 0 1 
1 0 4 1 2 
0 1 4 0 2 
0 0 4 1 1 
1 0 4 0 1 
1 0 4 1 2 
0 0 4 1 2 
0 0 4 1 2 
0 0 4 0 1 
1 0 4 0 1 
0 1 4 0 2 
0 0 4 1 2 
0 0 4 1 1 
1 0 4 0 1 
0 1 4 0 2 
0 0 4 1 2 
0 0 4 1 1 
1 0 4 0 2 
0 0 4 1 2 
0 0 4 1 1 
1 0 4 1 2 
0 0 4 1 1 
1 0 4 1 2 
0 0 5 0 2 
0 0 4 1 2 
0 0 4 1 1 
1 0 4 0 2 
0 0 5 0 1 
1 0 4 1 2 
0 0 4 1 2 
0 1 4 0 2 
0 0 4 1 2 
0 0 4 1 2 
0 0 4 1 2 
1 0 4 1 2 
0 0 5 0 1 
0 0 5 0 1 
0 1 4 0 1 
1 0 4 0 2 
0 0 5 0 2 
0 0 5 0 1 
1 0 4 1 2 
0 0 5 0 2 
1 0 5 0 2 
0 0 4 1 2 
0 0 4 1 2 
0 0 4 1 2 
0 0 5 0 1 
0 0 4 1 1 
1 0 4 0 1 
0 1 4 0 1 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 2 
0 0 4 1 1 
0 0 5 0 1 
0 0 5 0 1 
0 0 4 0 1 
0 0 5 0 1 
0 0 4 1 1 
0 0 5 0 1 
0 0 4 1 1 
0 1 4 0 1 
0 0 5 0 1 
0 0 4 1 1 
1 0 4 0 1 
0 0 5 0 1 
1 0 4 0 1 
0 0 5 0 1 
1 0 4 0 1 
1 0 4 0 1 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 4 0 0 
0 0 5 0 2 
0 0 4 1 1 
0 0 5 0 1 
0 0 4 1 1 
0 1 4 0 1 
0 0 4 1 1 
0 0 4 0 0 
0 0 5 0 1 
0 0 5 0 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 0 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 1 0 
1 0 4 0 0 
0 0 5 0 1 
0 0 5 0 1 
1 0 4 0 1 
0 1 4 0 1 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 2 
0 0 4 1 1 
0 1 4 0 1 
0 0 5 0 1 
0 0 5 0 1 
0 0 5 0 1 
0 0 5 0 1 
1 0 4 0 1 
0 0 5 0 2 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 5 0 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 1 
1 0 4 0 0 
0 0 5 0 1 
0 0 5 0 1 
1 0 4 1 1 
0 1 4 0 1 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
1 0 4 0 0 
0 0 5 0 1 
0 0 5 0 0 
1 0 4 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 1 
1 0 4 0 1 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 2 
0 0 5 0 1 
0 0 4 1 1 
0 0 5 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 2 
0 0 4 1 1 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 4 1 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 5 0 1 
0 0 4 0 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 1 4 0 0 
0 0 5 0 1 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 1 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 1 
0 0 4 1 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 2 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 1 
0 0 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 2 
0 0 5 0 0 
1 0 4 1 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 0 
1 0 4 1 0 
0 1 4 0 0 
0 1 4 0 0 
0 0 5 0 1 
1 0 4 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 2 
0 0 5 0 0 
1 0 4 1 0 
1 0 4 1 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 1 
0 0 5 0 1 
0 0 5 0 0 
1 0 4 1 0 
1 0 4 1 0 
1 0 4 0 0 
0 1 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 0 5 0 0 
0 1 4 0 1 
0 1 4 0 1 
1 0 4 0 0 
0 0 5 0 0 
0 1 4 1 0 
1 0 4 0 0 
0 0 5 0 0 
0 0 5 0 0 
1 0 5 0 1 
0 0 5 0 1 
1 0 5 0 1 
1 0 4 1 2 
0 1 4 0 2 
0 0 5 0 2 
0 0 5 0 1 
1 0 4 0 2 
0 0 5 0 2 
0 0 5 0 2 
0 1 4 0 1 
1 0 5 0 2 
1 0 5 0 2 
0 0 5 0 2 
1 0 5 0 2 
1 0 5 0 2 
1 0 5 0 2 
0 0 5 0 2 
1 0 5 0 1 
1 0 5 0 1 
1 0 5 0 2 
0 0 5 0 3 
0 0 5 0 2 
0 1 5 0 2 
1 0 5 0 2 
0 0 5 1 3 
0 0 5 1 2 
0 0 5 0 2 
0 0 5 0 2 
0 1 4 1 0 
1 0 5 0 2 
0 0 5 1 2 
0 0 5 0 2 
0 0 5 0 1 
1 0 5 0 2 
1 0 4 0 2 
0 0 5 1 2 
1 0 5 0 2 
0 1 5 0 2 
1 0 5 0 2 
0 1 5 0 2 
1 0 5 0 2 
0 0 5 1 2 
1 0 5 1 3 
0 1 4 1 3 
1 0 5 0 2 
1 0 5 0 2 
1 0 5 1 3 
1 0 5 0 3 
1 0 5 0 2 
0 0 5 0 2 
0 0 6 0 3 
1 0 5 0 3 
1 0 6 0 2 
0 1 5 0 2 
1 1 5 0 3 
1 0 5 1 3 
1 1 5 1 2 
1 0 6 0 3 
1 0 6 1 4 
1 0 5 1 5 
2 0 5 1 3 
1 1 5 1 3 
2 0 6 0 4 
2 0 5 1 4 
1 0 6 0 3 
0 1 5 1 4 
1 0 6 0 4 
2 0 6 0 5 
0 1 5 1 2 
3 0 5 1 3 
1 0 5 1 4 
1 1 5 1 4 
2 0 6 0 2 
2 0 6 1 3 
2 0 6 0 5 
2 0 6 0 6 
2 1 5 1 2 
2 0 6 1 3 
2 0 6 1 4 
2 0 6 1 7 
1 1 5 0 3 
2 0 6 1 3 
2 1 6 1 6 
1 1 6 1 5 
2 0 6 1 3 
1 0 6 1 4 
1 1 6 1 5 
2 0 6 1 7 
2 0 7 0 3 
1 1 6 1 4 
2 0 7 0 7 
2 0 7 1 5 
2 0 6 0 3 
2 0 7 1 5 
2 0 7 1 6 
2 0 7 1 7 
2 1 6 1 3 
2 0 7 1 5 
1 1 7 1 6 
2 0 7 1 7 
2 0 7 1 2 
1 1 7 1 4 
2 0 7 1 6 
1 0 7 1 7 
2 0 7 1 3 
1 0 7 1 4 
1 1 7 1 5 
1 1 7 1 6 
2 0 7 1 3 
1 0 8 1 4 
1 0 7 1 5 
1 0 8 1 7 
1 1 7 1 3 
1 1 7 1 4 
2 0 7 1 6 
1 0 8 1 6 
2 0 8 1 2 
0 1 7 1 4 
1 0 8 1 6 
1 0 8 1 7 
1 0 8 1 3 
1 1 8 0 4 
0 1 8 0 5 
1 0 8 0 6 
1 0 8 1 2 
0 1 8 0 3 
1 0 8 1 3 
1 0 9 0 4 
0 0 9 0 3 
0 0 8 0 3 
2 0 9 0 4 
2 0 8 1 5 
2 0 9 1 4 
1 0 8 1 5 
1 0 8 1 6 
2 0 9 0 8 
2 0 9 0 3 
2 0 8 0 4 
2 0 9 1 5 
2 0 9 1 7 
2 0 9 1 4 
3 0 9 1 5 
2 0 9 1 8 
3 0 9 1 10 
2 0 9 1 5 
3 0 10 1 6 
2 1 9 1 10 
3 1 9 1 9 
3 1 9 2 4 
3 0 10 1 6 
5 0 10 1 11 
4 0 10 1 11 
3 1 10 1 4 
3 1 9 2 6 
4 0 10 1 12 
4 0 10 1 11 
4 1 10 1 6 
3 1 10 1 9 
3 0 11 1 12 
3 1 10 2 12 
3 0 11 1 6 
3 0 11 2 8 
3 0 11 1 13 
1 0 11 1 15 
3 0 11 2 5 
3 1 11 1 9 
3 0 11 1 13 
2 1 11 1 15 
5 0 12 1 5 
4 0 12 1 9 
3 1 12 1 13 
4 0 12 1 17 
4 1 11 2 7 
3 0 12 1 10 
4 1 12 1 15 
3 0 13 1 18 
3 1 12 2 4 
3 1 12 2 10 
3 0 13 1 10 
3 0 13 1 19 
2 1 12 2 6 
3 1 13 1 9 
3 0 13 2 13 
2 0 14 1 16 
2 0 13 2 5 
3 0 14 1 9 
1 1 13 1 13 
2 0 14 1 16 
2 1 13 1 6 
2 0 14 1 8 
2 0 14 1 11 
2 0 14 1 14 
2 0 14 1 5 
3 0 14 1 6 
2 0 15 1 9 
2 0 15 1 12 
2 0 14 1 4 
2 0 15 1 7 
2 0 14 1 7 
2 0 14 1 11 
3 0 15 0 5 
1 1 14 1 6 
2 1 14 1 9 
2 0 15 1 9 
1 1 14 1 5 
2 0 15 1 6 
1 1 14 2 9 
2 0 15 1 8 
2 0 15 1 4 
2 0 15 1 7 
1 0 15 1 9 
1 1 15 1 10 
1 0 16 1 4 
1 0 15 1 7 
1 0 16 0 8 
1 0 16 1 10 
1 0 16 0 4 
1 0 16 0 5 
1 0 16 1 7 
0 0 16 0 7 
1 0 16 1 3 
0 0 16 0 0 
1 0 15 1 3 
1 0 16 0 0 
1 0 16 1 3 
1 0 16 1 5 
1 0 16 1 4 
1 1 15 1 6 
2 0 16 1 8 
2 0 16 1 5 
2 0 16 1 8 
2 0 16 1 8 
3 0 16 1 5 
2 1 16 1 8 
1 0 17 1 10 
3 0 17 1 13 
3 0 17 1 5 
6 0 17 1 8 
2 1 17 1 8 
3 0 17 1 15 
2 1 17 1 5 
2 1 17 1 7 
1 1 17 1 12 
2 1 17 1 11 
2 1 17 1 6 
2 0 18 1 9 
2 0 18 1 13 
2 0 18 1 16 
3 0 18 1 7 
2 1 18 1 11 
1 1 18 1 14 
2 1 18 1 19 
2 0 18 1 6 
2 0 19 1 8 
1 1 18 1 13 
1 1 18 1 15 
3 0 19 1 6 
2 0 19 1 8 
3 0 19 1 12 
2 0 20 1 15 
2 0 20 1 5 
2 0 20 1 9 
1 0 19 1 10 
2 0 20 1 15 
1 0 20 1 5 
1 1 19 1 8 
2 0 20 1 8 
1 0 20 1 13 
1 0 20 1 4 
2 0 20 1 6 
1 0 20 1 10 
1 0 20 1 12 
1 1 20 1 5 
1 0 20 1 6 
0 0 20 1 0 
0 1 19 1 0 
1 0 20 0 0 
1 0 20 0 1 
0 0 20 1 1 
0 0 20 1 0 
1 0 20 0 0 
1 0 20 0 2 
1 0 20 1 3 
0 0 20 1 2 
0 0 21 0 2 
1 0 20 0 2 
1 0 20 0 2 
0 1 20 0 2 
1 0 20 1 2 
1 0 20 0 3 
0 1 20 0 3 
1 0 20 1 2 
1 0 20 0 2 
1 0 20 0 3 
1 0 20 0 3 
1 0 20 1 3 
1 0 20 1 2 
1 0 20 0 3 
1 0 20 0 3 
0 1 20 0 3 
1 0 20 0 3 
0 1 19 0 3 
0 0 20 1 2 
1 0 20 1 3 
0 0 20 1 2 
0 1 20 0 3 
0 1 20 0 3 
1 0 20 1 3 
0 1 20 0 2 
1 0 20 0 3 
0 0 21 0 3 
1 0 20 0 3 
0 1 20 0 2 
1 0 20 0 2 
1 0 20 0 3 
0 1 20 0 3 
1 0 20 0 3 
0 0 20 0 2 
1 0 20 1 2 
1 0 20 1 3 
0 1 20 0 3 
1 0 20 0 3 
0 1 20 0 3 
0 0 21 0 3 
0 1 20 0 3 
0 1 20 0 3 
0 0 20 1 3 
0 0 20 0 3 
1 0 20 0 0 
1 0 20 0 1 
0 0 20 1 0 
1 0 20 0 1 
0 0 20 1 0 
1 0 20 0 0 
0 0 21 0 1 
0 0 21 0 2 
1 0 20 0 3 
0 0 21 0 3 
0 1 20 0 3 
1 0 20 0 3 
0 0 20 1 2 
0 1 20 0 3 
0 0 21 0 3 
0 0 21 0 2 
1 0 20 0 3 
0 0 20 1 3 
0 0 20 1 2 
1 0 20 1 2 
1 0 20 0 3 
0 0 20 1 3 
0 0 20 1 3 
1 0 20 0 3 
0 0 20 1 2 
1 0 20 0 3 
0 0 20 0 2 
1 0 20 0 1 
0 0 20 1 0 
1 0 20 1 0 
0 1 20 0 1 
0 0 20 1 0 
1 0 20 0 1 
0 0 20 1 0 
0 1 20 0 1 
0 0 20 1 0 
0 0 20 1 0 
1 0 20 0 1 
0 0 20 1 0 
0 0 20 1 0 
0 1 20 0 1 
0 0 20 1 0 
0 0 21 0 1 
0 0 20 1 1 
0 0 21 0 0 
1 0 20 1 0 
0 1 20 0 3 
0 0 21 0 1 
0 0 20 1 0 
1 0 20 0 1 
0 0 20 1 2 
0 0 21 0 2 
1 0 21 0 3 
1 0 20 0 1 
0 0 20 1 2 
0 0 21 0 0 
0 1 20 0 1 
0 0 21 0 1 
0 0 20 1 0 
1 0 20 1 0 
0 0 20 1 1 
0 0 20 1 0 
0 1 20 0 3 
0 0 21 1 3 
1 0 20 1 3 
0 0 20 1 3 
0 0 21 0 0 
0 0 20 1 0 
0 1 20 0 1 
0 0 21 0 1 
0 0 20 1 0 
1 0 20 1 1 
0 0 21 0 3 
0 0 20 1 3 
1 0 20 0 1 
0 0 21 0 0 
0 0 21 0 0 
1 0 20 1 2 
0 1 20 0 3 
0 0 21 0 3 
0 1 20 0 4 
0 0 20 1 2 
1 0 20 0 3 
1 0 20 0 3 
0 0 21 0 3 
0 0 21 0 0 
0 1 20 0 1 
0 1 20 1 0 
1 0 20 0 1 
0 0 20 1 3 
0 0 20 1 3 
0 0 21 0 1 
0 0 21 0 0 
1 0 20 0 0 
0 0 20 1 0 
0 0 21 0 2 
1 0 20 1 3 
0 0 20 1 0 
1 0 20 1 0 
0 0 21 0 1 
1 0 21 0 1 
1 0 20 1 0 
0 0 21 0 3 
0 0 21 0 3 
0 0 21 0 2 
